Job No,Institutation,URL(url of job posting),List Id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
68690,northern trust,https://careers.northerntrust.com/jobs/tax-technician-8148,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74690,northern trust,https://careers.northerntrust.com/jobs/accountant-fund-accounting-12063,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,0,3,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72509,northern trust,https://careers.northerntrust.com/jobs/team-lead-financial-reporting-10650,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,0,4,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
72506,northern trust,https://careers.northerntrust.com/jobs/financial-reporting-technical-coordinator-10643,3,1,9,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,7,1,0,1,0,0,5,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74590,northern trust,https://careers.northerntrust.com/jobs/associate-equity-portfolio-manager-12062,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,1,0,0,1,0,0,3,0,0,3,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74383,northern trust,https://careers.northerntrust.com/jobs/consultant-cash-management-investment-administration-12060,3,1,1,0,1,0,3,2,0,0,1,0,0,0,2,1,0,0,0,0,3,1,5,1,0,1,0,0,11,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71626,northern trust,https://careers.northerntrust.com/jobs/consultant-reconciliation-control-hedge-fund-services-12057,3,1,1,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,4,3,3,0,0,3,0,0,5,0,0,1,7,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74174,northern trust,https://careers.northerntrust.com/jobs/senior-consultant-applications-12058,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,1,0,0,2,0,0,2,0,0,1,6,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74512,northern trust,https://careers.northerntrust.com/jobs/analyst-securities-processing-12056,3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,6,1,0,0,5,0,0,3,0,0,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19012,northern trust,https://careers.northerntrust.com/jobs/senior-consultant-risk-12055,3,1,0,0,2,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,4,1,1,0,0,1,0,0,2,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
